epoch:1	trainacc=0.5940782122905028	trainloss=0.6632795998041362	acc=0.615036231884058	prec=0.6876832844574781	recall=0.4240506329113924	f1=0.5246085011185683	auc=0.6153828482161317	spec=0.8067150635208712	mcc=0.24972967820384107
epoch:2	trainacc=0.6918435754189944	trainloss=0.5803350345826269	acc=0.7404891304347826	prec=0.6876325088339222	recall=0.8813405797101449	f1=0.7725287812624057	auc=0.7404891304347826	spec=0.5996376811594203	mcc=0.5012792266078173
epoch:3	trainacc=0.7979888268156424	trainloss=0.43974526957050625	acc=0.8532608695652174	prec=0.8574040219378428	recall=0.8481012658227848	f1=0.8527272727272728	auc=0.8532702336373452	spec=0.8584392014519057	mcc=0.7065682943275831
epoch:4	trainacc=0.8991061452513966	trainloss=0.2519941331548696	acc=0.9012681159420289	prec=0.9752953813104189	recall=0.8232094288304623	f1=0.8928220255653883	auc=0.9011974745962267	spec=0.9791855203619909	mcc=0.8124315723005092
epoch:5	trainacc=0.9310614525139664	trainloss=0.1622384707532647	acc=0.9307065217391305	prec=0.9846938775510204	recall=0.8748866727107888	f1=0.9265482477196352	auc=0.9306560060386524	spec=0.9864253393665159	mcc=0.8667965578594392
epoch:6	trainacc=0.9441340782122905	trainloss=0.1240601376468889	acc=0.9506340579710145	prec=0.9391534391534392	recall=0.9638009049773756	f1=0.9513175524787851	auc=0.9506221206663851	spec=0.9374433363553943	mcc=0.9015768049550501
epoch:7	trainacc=0.9557541899441341	trainloss=0.10615158780939996	acc=0.9384057971014492	prec=0.9269366197183099	recall=0.9520795660036167	f1=0.9393398751115076	auc=0.9383809808239499	spec=0.9246823956442831	mcc=0.8771290645758115
epoch:8	trainacc=0.9546368715083798	trainloss=0.1120589184290213	acc=0.9438405797101449	prec=0.9413357400722022	recall=0.9464609800362976	f1=0.9438914027149322	auc=0.9438453182279136	spec=0.9412296564195298	mcc=0.8876950064350767
epoch:9	trainacc=0.9612290502793296	trainloss=0.09553711164780282	acc=0.9538043478260869	prec=0.9580674567000912	recall=0.9494128274616079	f1=0.9537205081669692	auc=0.9538163138216305	spec=0.9582198001816531	mcc=0.9076475217974452
epoch:10	trainacc=0.9640223463687151	trainloss=0.10003251428165673	acc=0.9569746376811594	prec=0.9582198001816531	recall=0.9556159420289855	f1=0.9569160997732428	auc=0.9569746376811594	spec=0.9583333333333334	mcc=0.9139526497802101
epoch:11	trainacc=0.9689385474860335	trainloss=0.07917661667051336	acc=0.957427536231884	prec=0.9606946983546618	recall=0.9537205081669692	f1=0.9571948998178508	auc=0.957420832745329	spec=0.961121157323689	mcc=0.9148776964734442
epoch:12	trainacc=0.9708379888268156	trainloss=0.07432618163157488	acc=0.9601449275362319	prec=0.9551166965888689	recall=0.9655172413793104	f1=0.9602888086642599	auc=0.9601546423894743	spec=0.9547920433996383	mcc=0.9203455311035844
epoch:13	trainacc=0.9698324022346368	trainloss=0.0744225088295993	acc=0.9646739130434783	prec=0.970615243342516	recall=0.958295557570263	f1=0.9644160583941606	auc=0.9646681407760818	spec=0.9710407239819004	mcc=0.9294216923920159
epoch:14	trainacc=0.9726256983240223	trainloss=0.07463314730939569	acc=0.9619565217391305	prec=0.9704797047970479	recall=0.9528985507246377	f1=0.9616087751371115	auc=0.9619565217391305	spec=0.9710144927536232	mcc=0.924064689094683
epoch:15	trainacc=0.9758659217877095	trainloss=0.06540113910734956	acc=0.9601449275362319	prec=0.9560538116591928	recall=0.9647058823529412	f1=0.9603603603603604	auc=0.9601407924910672	spec=0.9555757026291931	mcc=0.9203268920818759
epoch:16	trainacc=0.9783240223463687	trainloss=0.06238538456531923	acc=0.9619565217391305	prec=0.9628286491387126	recall=0.9610859728506788	f1=0.9619565217391304	auc=0.9619573109946957	spec=0.9628286491387126	mcc=0.9239146219893913
epoch:17	trainacc=0.9719553072625698	trainloss=0.07709304174521116	acc=0.9515398550724637	prec=0.9570776255707762	recall=0.9458483754512635	f1=0.9514298683613256	auc=0.9515605513619955	spec=0.9572727272727273	mcc=0.9031451859287004
epoch:18	trainacc=0.9814525139664805	trainloss=0.052245992115619436	acc=0.96875	prec=0.9725526075022873	recall=0.9646098003629764	f1=0.9685649202733486	auc=0.9687425132013797	spec=0.972875226039783	mcc=0.9375300266348269
epoch:19	trainacc=0.9766480446927375	trainloss=0.058970214790971136	acc=0.9596920289855072	prec=0.9746478873239437	recall=0.9436363636363636	f1=0.958891454965358	auc=0.959634066294716	spec=0.9756317689530686	mcc=0.9198362246223175
epoch:20	trainacc=0.9785474860335196	trainloss=0.060087856291798136	acc=0.9692028985507246	prec=0.9744058500914077	recall=0.9638336347197106	f1=0.9690909090909091	auc=0.9692126431311802	spec=0.9745916515426497	mcc=0.9384622460846015
epoch:21	trainacc=0.9844692737430167	trainloss=0.04444635158410306	acc=0.9669384057971014	prec=0.9614349775784753	recall=0.9727767695099818	f1=0.9670726206585475	auc=0.9669489634168353	spec=0.961121157323689	mcc=0.9339427548813208
epoch:22	trainacc=0.9835754189944134	trainloss=0.039890470924714996	acc=0.9682971014492754	prec=0.97	recall=0.9664855072463768	f1=0.9682395644283123	auc=0.9682971014492754	spec=0.970108695652174	mcc=0.9366003505265725
epoch:23	trainacc=0.9831284916201117	trainloss=0.051271168814605965	acc=0.9596920289855072	prec=0.9774647887323944	recall=0.9412296564195298	f1=0.9590050667894979	auc=0.9597255360137577	spec=0.9782214156079855	mcc=0.9200238062425672
epoch:24	trainacc=0.9867039106145251	trainloss=0.037642999385056136	acc=0.9655797101449275	prec=0.9759926131117267	recall=0.95483288166215	f1=0.9652968036529681	auc=0.9656089930563249	spec=0.9763851044504995	mcc=0.9313830627584299
